image_name,video_path,frame_index,timestamp_ms,timestamp_sec,quality_score,width,height
25_2_10_frame_000000_time_00000.00.jpg,data/input/labeled/25_2-10.mp4,0,0.0,0.0,0.95271,3840,2160
25_2_10_frame_000030_time_00001.50.jpg,data/input/labeled/25_2-10.mp4,30,1500.45,1.5,0.95606,3840,2160
25_2_10_frame_000040_time_00002.00.jpg,data/input/labeled/25_2-10.mp4,40,2000.6,2.0,0.95343,3840,2160
25_2_10_frame_000060_time_00003.00.jpg,data/input/labeled/25_2-10.mp4,60,3000.9,3.0,0.95376,3840,2160
25_2_10_frame_000090_time_00004.50.jpg,data/input/labeled/25_2-10.mp4,90,4501.3,4.5,0.95583,3840,2160
25_2_10_frame_000110_time_00005.50.jpg,data/input/labeled/25_2-10.mp4,110,5501.6,5.5,0.95756,3840,2160
25_2_10_frame_000120_time_00006.00.jpg,data/input/labeled/25_2-10.mp4,120,6001.75,6.0,0.95677,3840,2160
25_2_10_frame_000150_time_00007.50.jpg,data/input/labeled/25_2-10.mp4,150,7502.2,7.5,0.96065,3840,2160
25_2_10_frame_000170_time_00008.50.jpg,data/input/labeled/25_2-10.mp4,170,8502.45,8.5,0.96396,3840,2160
25_2_10_frame_000190_time_00009.50.jpg,data/input/labeled/25_2-10.mp4,190,9502.75,9.5,0.96559,3840,2160
25_2_10_frame_000200_time_00010.00.jpg,data/input/labeled/25_2-10.mp4,200,10002.9,10.0,0.9665,3840,2160
25_2_10_frame_000230_time_00011.50.jpg,data/input/labeled/25_2-10.mp4,230,11503.35,11.5,0.96665,3840,2160
25_2_10_frame_000250_time_00012.50.jpg,data/input/labeled/25_2-10.mp4,250,12503.6,12.5,0.96563,3840,2160
25_2_10_frame_000270_time_00013.50.jpg,data/input/labeled/25_2-10.mp4,270,13503.9,13.5,0.96493,3840,2160
25_2_10_frame_000290_time_00014.50.jpg,data/input/labeled/25_2-10.mp4,290,14504.2,14.5,0.96668,3840,2160
25_2_10_frame_000310_time_00015.50.jpg,data/input/labeled/25_2-10.mp4,310,15504.5,15.5,0.96919,3840,2160
25_2_10_frame_000320_time_00016.00.jpg,data/input/labeled/25_2-10.mp4,320,16004.65,16.0,0.96867,3840,2160
25_2_10_frame_000350_time_00017.51.jpg,data/input/labeled/25_2-10.mp4,350,17505.05,17.51,0.96937,3840,2160
25_2_10_frame_000360_time_00018.01.jpg,data/input/labeled/25_2-10.mp4,360,18005.2,18.01,0.96894,3840,2160
25_2_10_frame_000380_time_00019.01.jpg,data/input/labeled/25_2-10.mp4,380,19005.5,19.01,0.96738,3840,2160
25_2_10_frame_000400_time_00020.01.jpg,data/input/labeled/25_2-10.mp4,400,20005.8,20.01,0.96152,3840,2160
25_2_10_frame_000430_time_00021.51.jpg,data/input/labeled/25_2-10.mp4,430,21506.2,21.51,0.96514,3840,2160
25_2_10_frame_000440_time_00022.01.jpg,data/input/labeled/25_2-10.mp4,440,22006.35,22.01,0.96282,3840,2160
25_2_10_frame_000470_time_00023.51.jpg,data/input/labeled/25_2-10.mp4,470,23506.8,23.51,0.96229,3840,2160
25_2_10_frame_000490_time_00024.51.jpg,data/input/labeled/25_2-10.mp4,490,24507.1,24.51,0.96258,3840,2160
25_2_10_frame_000510_time_00025.51.jpg,data/input/labeled/25_2-10.mp4,510,25507.35,25.51,0.9637,3840,2160
25_2_10_frame_000530_time_00026.51.jpg,data/input/labeled/25_2-10.mp4,530,26507.65,26.51,0.96631,3840,2160
25_2_10_frame_000550_time_00027.51.jpg,data/input/labeled/25_2-10.mp4,550,27507.95,27.51,0.96787,3840,2160
25_2_10_frame_000570_time_00028.51.jpg,data/input/labeled/25_2-10.mp4,570,28508.25,28.51,0.96943,3840,2160
25_2_10_frame_000580_time_00029.01.jpg,data/input/labeled/25_2-10.mp4,580,29008.35,29.01,0.96971,3840,2160
25_2_10_frame_000600_time_00030.01.jpg,data/input/labeled/25_2-10.mp4,600,30008.65,30.01,0.9698,3840,2160
